Year,Last_Name, first_name,Fast-pitch,Slow-pitch
2017,Verlander, Justin,58.1,41.9
2017,Sale, Chris,36.9,63.099999999999994
2017,Archer, Chris,47.4,52.5
2017,Porcello, Rick,33.3,66.6
2017,González, Gio,36.1,63.900000000000006
2017,Gausman, Kevin,64.2,35.8
2017,Cole, Gerrit,47.1,52.9
2017,Samardzija, Jeff,27.4,72.6
2017,Estrada, Marco,60.4,39.6
2017,Santana, Ervin,33.0,67.0
2017,Roark, Tanner,20.1,80.0
2017,Quintana, José,37.5,62.5
2017,deGrom, Jacob,39.6,60.4
2017,Bauer, Trevor,47.699999999999996,52.2
2017,Lynn, Lance,47.2,52.699999999999996
2017,Greinke, Zack,39.2,60.9
2017,Stroman, Marcus,14.8,85.19999999999999
2017,Lester, Jon,66.5,33.5
2017,Martinez, Carlos,28.2,71.79999999999998
2017,Scherzer, Max,53.5,46.599999999999994
2017,Pérez, Martín,23.3,76.7
2017,Nolasco, Ricky,19.3,80.7
2017,Severino, Luis,51.3,48.7
2017,Corbin, Patrick,27.3,72.7
2017,Davies, Zach,12.8,87.3
2017,Teheran, Julio,39.9,60.099999999999994
2017,Miley, Wade,39.3,60.599999999999994
2017,Straily, Dan,45.0,54.9
2017,Pomeranz, Drew,58.800000000000004,41.199999999999996
2017,Carrasco, Carlos,40.2,59.900000000000006
2017,Darvish, Yu,50.0,49.900000000000006
2017,Richard, Clayton,33.0,67.1
2017,Hammel, Jason,20.7,79.39999999999999
2017,Kluber, Corey,37.2,62.7
2017,Vargas, Jason,2.6,97.39999999999999
2017,Chacín, Jhoulys,16.3,83.6
2017,Ureña, José,31.3,68.7
2017,Moore, Matt,66.4,33.6
2017,Cobb, Alex,1.2,98.89999999999999
2017,Dickey, R.A.,17.3,82.7
2017,Bundy, Dylan,44.0,56.0
2017,Tanaka, Masahiro,19.1,80.8
2017,Foltynewicz, Mike,38.8,61.300000000000004
2017,Lackey, John,74.9,24.9
2017,Nelson, Jimmy,29.3,70.7
2017,Walker, Taijuan,69.7,30.3
2017,Arrieta, Jake,2.1,97.89999999999999
2017,Leake, Mike,22.3,77.80000000000001
2017,Ray, Robbie,56.5,43.5
2017,Wacha, Michael,66.5,33.5
2017,Kuhl, Chad,30.6,69.5
2017,Manaea, Sean,0.0,100.0
2017,Strasburg, Stephen,45.6,54.400000000000006
2017,Nola, Aaron,32.5,67.5
2017,Miranda, Aríel,57.7,42.3
2017,Gray, Sonny,28.8,71.2
2017,Márquez, Germán,51.9,48.099999999999994
2017,Zimmermann, Jordan,44.5,55.5
2017,Kennedy, Ian,39.8,60.2
2017,Cashner, Andrew,12.8,87.1
2017,Fiers, Mike,36.699999999999996,63.3
2017,Odorizzi, Jake,61.099999999999994,38.8
2017,Gibson, Kyle,22.5,77.49999999999999
2017,Hellickson, Jeremy,34.7,65.3
2017,Jiménez, Ubaldo,19.7,80.3
2017,Nova, Iván,25.2,74.69999999999999
2017,Freeland, Kyle,26.2,73.69999999999999
2017,Perdomo, Luis,11.3,88.6
2017,González, Miguel,26.2,73.6
2017,Montgomery, Jordan,17.4,82.6
2017,Cueto, Johnny,38.0,62.0
2017,Blach, Ty,1.3,98.69999999999999
2017,Happ, J.A.,43.0,57.0
2017,Fulmer, Michael,26.7,73.3
2017,Rodriguez, Eduardo,69.60000000000001,30.5
2017,Holland, Derek,19.0,81.0
2017,Chatwood, Tyler,55.8,44.2
2017,Kershaw, Clayton,46.4,53.60000000000001
2017,Pivetta, Nick,53.9,46.099999999999994
2017,García, Jaime,32.5,67.5
2017,Godley, Zack,28.3,71.69999999999999
2017,Williams, Trevor,48.9,51.0
2017,Berríos, José,30.9,69.1
2017,Morton, Charlie,21.799999999999997,78.2
2017,Boyd, Matthew,25.1,75.0
2017,Sabathia, CC,30.5,69.6
2017,Taillon, Jameson,29.0,70.9
2017,Hamels, Cole,43.1,56.9
2017,Chavez, Jesse,46.900000000000006,53.1
2017,Ramírez, JC,3.6,96.39999999999999
2017,Pelfrey, Mike,0.5,99.6
2017,Gallardo, Yovani,31.6,68.4
2017,Colon, Bartolo,20.0,79.9
2017,Snell, Blake,55.0,45.00000000000001
2017,Duffy, Danny,24.7,75.3
2017,Hendricks, Kyle,24.5,75.4
2017,Paxton, James,76.2,23.799999999999997
2017,Anderson, Chase,50.7,49.3
2017,Wood, Alex,0.0,100.0
2017,Peacock, Brad,26.2,73.8
2017,Hill, Rich,56.6,43.4
2017,Montero, Rafael,36.8,63.199999999999996
2017,Senzatela, Antonio,72.1,27.900000000000002
2017,Keuchel, Dallas,15.3,84.60000000000001
2017,Maeda, Kenta,42.800000000000004,57.2
2017,Cotton, Jharel,33.8,66.1
2017,Eickhoff, Jerad,37.3,62.699999999999996
2017,Wainwright, Adam,42.900000000000006,57.099999999999994
2017,Ryu, Hyun Jin,51.9,48.0
2017,Clevinger, Mike,52.9,47.1
2017,Adleman, Tim,55.1,44.9
2017,Tomlin, Josh,52.7,47.3
2017,Montgomery, Mike,64.2,35.9
2017,Cain, Matt,35.3,64.6
2017,Gsellman, Robert,17.2,82.7
2017,McCullers Jr., Lance,24.6,75.4
