year,last_name, first_name,4_Seamer,Sinker,Cutter,Slider,Changeup,Curve,Splitter,Knuckle
2022,Burnes, Corbin,96.1,96.3,95.0,88.2,90.3,81.6,,
2022,Cole, Gerrit,97.8,,92.0,88.7,89.7,83.0,,
2022,Alcantara, Sandy,98.0,97.8,,90.0,91.8,86.2,,
2022,Mikolas, Miles,93.5,93.0,,87.7,82.7,76.2,,
2022,Cease, Dylan,96.8,96.5,,87.4,77.9,81.1,,
2022,Wainwright, Adam,88.0,88.6,84.3,,82.2,72.9,,
2022,Pivetta, Nick,93.4,,,85.8,87.1,77.2,,
2022,Kelly, Merrill,92.6,92.6,90.9,85.0,88.6,82.2,,
2022,Ray, Robbie,93.4,93.3,,87.2,86.9,79.7,,
2022,Nola, Aaron,92.8,92.2,86.8,,85.9,78.6,,
2022,Valdez, Framber,94.1,93.9,83.0,,88.7,79.1,,
2022,Gilbert, Logan,96.1,94.7,,86.9,86.2,80.8,,
2022,Webb, Logan,92.4,91.8,,82.5,86.4,,,
2022,Lyles, Jordan,91.8,90.8,84.8,80.0,86.3,79.1,,
2022,Rodón, Carlos,95.5,,,85.4,84.6,79.8,,
2022,Pérez, Martín,92.7,92.6,89.8,84.4,84.4,78.8,,
2022,Darvish, Yu,95.0,94.7,86.5,82.3,,72.7,89.2,
2022,Manoah, Alek,93.9,93.3,,81.5,86.5,,,
2022,Gallen, Zac,94.1,94.7,89.9,86.7,86.2,81.6,,
2022,Quantrill, Cal,93.4,93.6,88.5,,85.3,82.7,,
2022,López, Pablo,93.5,93.4,88.7,,87.5,80.9,,
2022,Morton, Charlie,94.9,94.7,88.4,,87.2,81.3,,
2022,Bassitt, Chris,93.2,92.8,89.1,78.9,85.4,71.6,,
2022,Bieber, Shane,91.3,,86.9,85.0,86.4,82.0,,
2022,Márquez, Germán,95.6,95.1,,87.7,87.8,86.5,,
2022,Freeland, Kyle,90.3,89.6,,85.5,84.8,80.9,,
2022,Gonzales, Marco,88.4,,86.1,,79.4,76.6,,
2022,Musgrove, Joe,92.9,92.4,90.1,82.9,86.5,81.3,,
2022,Fried, Max,94.0,93.6,,87.3,86.5,74.3,,
2022,McKenzie, Triston,92.5,,,87.3,,79.4,,
2022,Taillon, Jameson,94.1,94.2,90.7,86.2,87.7,81.1,,
2022,Gausman, Kevin,95.0,,,84.4,84.5,,85.2,
2022,Giolito, Lucas,92.6,,,84.4,81.0,79.2,,
2022,Gibson, Kyle,92.0,91.6,89.4,83.3,84.6,79.0,,
2022,Quintana, José,91.2,91.4,,,86.4,78.4,,
2022,Berríos, José,94.0,93.9,,,84.6,82.9,,
2022,Montgomery, Jordan,93.0,93.0,88.3,,82.3,80.2,,
2022,Bumgarner, Madison,91.2,91.2,87.4,83.3,85.5,78.6,,
2022,Wright, Kyle,95.1,94.4,,90.1,88.1,84.7,,
2022,Lauer, Eric,93.3,,89.8,86.7,87.2,78.2,,
2022,Keller, Mitch,95.5,94.4,,84.3,91.2,78.7,,
2022,Urquidy, José,93.5,,87.4,80.1,86.1,78.1,,
2022,Ohtani, Shohei,97.3,97.2,90.5,85.3,,77.7,89.3,
2022,Corbin, Patrick,92.1,92.9,,81.7,82.5,74.2,,
2022,Urías, Julio,93.1,93.9,,,86.2,80.9,,
2022,Irvin, Cole,90.7,90.3,87.1,86.7,83.0,77.5,,
2022,Verlander, Justin,95.0,,,87.4,86.2,79.0,,
2022,Gray, Josiah,94.4,94.7,,85.8,88.2,82.7,,
2022,Anderson, Tyler,90.7,89.0,85.7,,79.0,73.2,,
2022,Suárez, Ranger,93.2,92.5,89.7,82.5,84.9,76.5,,
2022,Javier, Cristian,93.8,,,79.8,85.3,76.5,,
2022,Dunning, Dane,86.9,89.5,87.1,78.7,84.0,,,
