year,last_name, first_name,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090,player_speed_(f/s),predicted_time_outcome
2022,Abrams, CJ,0.0,0.53,0.82,1.07,1.3,1.51,1.71,1.9,2.09,2.27,2.44,2.62,2.79,2.95,3.12,3.29,3.45,3.63,3.82,23.56020942408377, 
2022,Abreu, José,0.0,0.57,0.92,1.2,1.45,1.68,1.9,2.11,2.32,2.52,2.71,2.9,3.09,3.27,3.46,3.64,3.83,4.02,4.22,21.32701421800948, 
2022,Acuña Jr., Ronald,0.0,0.54,0.85,1.1,1.33,1.54,1.74,1.93,2.12,2.3,2.48,2.65,2.82,2.99,3.16,3.32,3.49,3.65,3.82,23.56020942408377, 
2022,Adames, Willy,0.0,0.55,0.87,1.14,1.38,1.61,1.82,2.02,2.21,2.4,2.58,2.76,2.94,3.12,3.29,3.46,3.64,3.81,3.99,22.55639097744361, 
2022,Adams, Riley,0.0,0.56,0.89,1.16,1.41,1.64,1.86,2.07,2.27,2.47,2.66,2.86,3.04,3.23,3.42,3.6,3.79,3.97,4.17,21.58273381294964, 
2022,Adell, Jo,0.0,0.55,0.85,1.11,1.34,1.55,1.75,1.94,2.13,2.31,2.48,2.65,2.82,2.99,3.15,3.31,3.47,3.64,3.81,23.62204724409449, 
2022,Adrianza, Ehire,0.0,0.57,0.9,1.16,1.41,1.63,1.84,2.04,2.24,2.43,2.62,2.81,2.99,3.17,3.35,3.53,3.71,3.89,4.08,22.058823529411764, 
2022,Adrianza, Ehire,0.0,0.56,0.86,1.12,1.35,1.57,1.78,1.98,2.17,2.36,2.55,2.73,2.92,3.1,3.28,3.47,3.65,3.84,4.04,22.277227722772277, 
2022,Aguilar, Jesús,0.0,0.59,0.96,1.26,1.54,1.79,2.02,2.25,2.47,2.68,2.89,3.09,3.29,3.5,3.69,3.89,4.09,4.3,4.51,19.955654101995567, 
2022,Ahmed, Nick,0.0,0.57,0.9,1.17,1.41,1.64,1.85,2.06,2.26,2.45,2.64,2.82,3.0,3.18,3.36,3.54,3.72,3.89,4.07,22.11302211302211, 
2022,Alberto, Hanser,0.0,0.56,0.89,1.16,1.41,1.65,1.87,2.08,2.28,2.48,2.68,2.87,3.06,3.26,3.45,3.64,3.83,4.02,4.23,21.27659574468085, 
2022,Albies, Ozzie,0.0,0.53,0.83,1.08,1.31,1.53,1.73,1.93,2.12,2.3,2.48,2.66,2.83,3.01,3.18,3.35,3.52,3.7,3.89,23.13624678663239, 
