"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
425877,"Molina, Yadier","Pit",138,19,19,8,6.471,11,6.471,0.9473684210526315,0.05263157894736842,0
571976,"Myers, Wil","Pit",135,18,18,15,7.192,3,7.192,1,0,0
608703,"Reynolds, Matt","Pit",113,6,6,2,7.766,4,7.766,1,0,0
405395,"Pujols, Albert","Pit",138,13,13,5,7.977,8,7.977,1,0,0
571466,"Barnhart, Tucker","Pit",116,8,8,3,8.047,5,8.047,1,0,0
624512,"McGuire, Reese","Pit",111,2,2,2,8.071,,8.071,1,0,0
592743,"Simmons, Andrelton","Pit",112,13,13,1,8.37,12,8.37,0.9230769230769231,0.07692307692307693,0
643524,"Schwindel, Frank","Pit",112,15,15,9,8.413,6,8.413,1,0,0
608700,"Plawecki, Kevin","Pit",140,7,7,2,8.524,5,8.524,1,0,0
665155,"Maton, Nick","Pit",143,13,13,8,8.588,5,8.588,1,0,0
572191,"Taylor, Michael A.","Pit",118,18,18,6,8.754,12,8.754,1,0,0
506702,"Leon, Sandy","Pit",142,10,10,10,8.834,,8.834,1,0,0
621011,"Schrock, Max","Pit",113,8,8,7,8.837,1,8.837,1,0,0
543281,"Harrison, Josh","Pit",145,31,31,9,8.946,22,8.946,0.8064516129032258,0.1935483870967742,0
553902,"Astudillo, Willians","Pit",146,15,15,8,8.954,7,8.954,1,0,0
606993,"Hager, Jake","Pit",109,9,9,4,9.193,5,9.193,1,0,0
624503,"Gordon, Nick","Pit",142,48,48,22,9.238,26,9.238,0.9375,0.041666666666666664,0.020833333333333332
660636,"Castillo, Diego","Pit",134,33,33,8,9.47,25,9.47,0.7878787878787878,0.21212121212121213,0
605170,"Caratini, Victor","Pit",158,6,6,4,9.55,2,9.55,1,0,0
608348,"Kelly, Carson","Pit",109,33,33,12,9.667,21,9.667,0.9393939393939394,0.06060606060606061,0
641914,"Neuse, Sheldon","Pit",133,18,18,14,9.719,4,9.719,1,0,0
573131,"Ruf, Darin","Pit",121,4,4,2,9.792,2,9.792,1,0,0
642851,"Wynns, Austin","Pit",137,13,13,5,9.889,8,9.889,1,0,0
676946,"Batten, Matthew","Pit",135,12,12,6,10.201,6,10.201,1,0,0
661531,"Serven, Brian","Pit",115,4,4,4,10.288,,10.288,1,0,0
545341,"Grichuk, Randal","Pit",115,5,5,5,10.322,,10.322,1,0,0
665019,"Clemens, Kody","Pit",116,31,31,18,10.376,13,10.376,0.9354838709677419,0.06451612903225806,0
593160,"Merrifield, Whit","Pit",141,4,4,2,10.579,2,10.579,1,0,0
676391,"Clement, Ernie","Pit",133,21,21,11,10.585,10,10.585,0.9047619047619048,0.09523809523809523,0
622569,"Reyes, Pablo","Pit",158,6,6,6,10.615,,10.615,1,0,0
598265,"Bradley Jr., Jackie","Pit",141,14,14,1,10.656,13,10.656,0.8571428571428571,0.14285714285714285,0
596117,"Stubbs, Garrett","Pit",143,31,31,24,10.723,7,10.723,1,0,0
593643,"Alberto, Hanser","Pit",119,74,74,40,10.742,34,10.742,0.9459459459459459,0.05405405405405406,0
543829,"Strange-Gordon, Dee","Pit",120,15,15,6,10.77,9,10.77,0.8666666666666667,0.13333333333333333,0
670032,"Lopez, Nicky","Pit",118,10,10,8,10.777,2,10.777,1,0,0
642165,"VanMeter, Josh","Pit",134,34,34,16,10.844,18,10.844,0.9411764705882353,0.058823529411764705,0
444876,"Escobar, Alcides","Pit",120,13,13,6,10.888,7,10.888,0.9230769230769231,0.07692307692307693,0
620443,"Torrens, Luis","Pit",136,14,14,7,10.891,7,10.891,0.9285714285714286,0.07142857142857142,0
607054,"Peterson, Jace","Pit",158,5,5,5,11.11,,11.11,1,0,0
622268,"Walton, Donovan","Pit",137,12,12,5,11.214,7,11.214,0.9166666666666666,0.08333333333333333,0
572008,"Owings, Chris","Pit",110,3,3,2,11.215,1,11.215,1,0,0
621433,"Phillips, Brett","Pit",110,30,30,13,11.242,17,11.242,0.8,0.2,0
489119,"Miley, Wade","Pit",112,284,284,186,11.348,98,11.348,0.6830985915492958,0.3028169014084507,0.014084507042253521
641531,"Dozier, Hunter","Pit",118,13,13,5,11.353,8,11.353,1,0,0
645801,"Ford, Mike","Pit",108,7,7,6,11.379,1,11.379,0.8571428571428571,0.14285714285714285,0
664670,"Lopez, Alejo","Pit",113,10,10,9,11.528,1,11.528,0.7,0.3,0
614177,"Reyes, Franmil","Pit",112,5,5,4,11.729,1,11.729,0.8,0.2,0
670768,"González, Luis","Pit",137,47,47,18,11.756,29,11.756,0.8085106382978723,0.14893617021276595,0.0425531914893617
605612,"Castro, Harold","Pit",116,23,23,18,11.809,5,11.809,0.9130434782608695,0.08695652173913043,0
608686,"Mayfield, Jack","Pit",108,9,9,6,12.005,3,12.005,0.8888888888888888,0.1111111111111111,0
670712,"Brosseau, Mike","Pit",158,25,25,13,12.224,12,12.224,0.68,0.32,0
606115,"Arcia, Orlando","Pit",144,3,3,3,12.578,,12.578,1,0,0
644374,"Chang, Yu","Pit",111,8,8,6,12.585,2,12.585,1,0,0
608718,"Suter, Brent","Pit",158,499,499,317,12.639,182,12.639,0.4909819639278557,0.48296593186372744,0.026052104208416832
669674,"Long, Sam","Pit",137,347,347,219,12.758,128,12.758,0.48703170028818443,0.4899135446685879,0.023054755043227664
676840,"Peacock, Matt","Pit",118,59,59,33,12.764,26,12.764,0.4745762711864407,0.4915254237288136,0.03389830508474576
682016,"Woods, William","Pit",144,16,16,12,12.912,4,12.912,0.625,0.3125,0.0625
606131,"Perdomo, Luis","Pit",158,126,126,76,13.07,50,13.07,0.46825396825396826,0.5158730158730159,0.015873015873015872
572362,"Erlin, Robbie","Pit",119,21,21,16,13.263,5,13.263,0.5238095238095238,0.47619047619047616,0
666205,"Muller, Kyle","Pit",144,100,100,50,13.372,50,13.372,0.32,0.61,0.07
675912,"Lowther, Zac","Pit",110,53,53,34,13.559,19,13.559,0.49056603773584906,0.5094339622641509,0
542194,"Bethancourt, Christian","Pit",139,25,25,11,13.595,14,13.595,0.76,0.24,0
445926,"Chavez, Jesse","Pit",144,588,588,337,13.688,251,13.688,0.3945578231292517,0.5884353741496599,0.017006802721088437
676641,"Sulser, Beau","Pit",110,153,153,90,13.713,63,13.713,0.3790849673202614,0.5882352941176471,0.032679738562091505
641743,"Kay, Anthony","Pit",141,17,17,6,13.746,11,13.746,0.17647058823529413,0.7058823529411765,0.11764705882352941
668948,"McCarty, Kirk","Pit",114,258,258,160,13.823,98,13.823,0.3992248062015504,0.5852713178294574,0.015503875968992248
606273,"Elías, Roenis","Pit",136,48,48,33,13.877,15,13.877,0.5,0.5,0
621389,"Blach, Ty","Pit",115,302,302,168,13.978,134,13.978,0.39072847682119205,0.5927152317880795,0.016556291390728478
686973,"Varland, Louie","Pit",142,185,185,125,14.038,60,14.038,0.4810810810810811,0.5135135135135135,0.005405405405405406
608344,"Irvin, Cole","Pit",133,1146,1146,742,14.068,404,14.068,0.4031413612565445,0.5724258289703316,0.02443280977312391
663485,"Sands, Cole","Pit",142,289,289,160,14.077,129,14.077,0.36678200692041524,0.6089965397923875,0.02422145328719723
605154,"Brebbia, John","Pit",137,476,476,240,14.175,236,14.175,0.3025210084033613,0.6176470588235294,0.07983193277310924
660730,"Rodriguez, Elvin","Pit",116,261,261,177,14.196,84,14.196,0.3946360153256705,0.5708812260536399,0.034482758620689655
501303,"Adrianza, Ehire","Pit",144,8,8,3,14.308,5,14.308,0.875,0.125,0
622065,"Young, Alex","Pit",137,177,177,71,14.315,106,14.315,0.23728813559322035,0.6836158192090396,0.07909604519774012
640461,"Pinder, Chad","Pit",133,14,14,4,14.385,10,14.385,0.9285714285714286,0.07142857142857142,0
571927,"Matz, Steven","Pit",138,392,392,270,14.39,122,14.39,0.41836734693877553,0.5459183673469388,0.03571428571428571
669211,"Akin, Keegan","Pit",110,518,518,315,14.405,203,14.405,0.35135135135135137,0.6312741312741312,0.017374517374517374
502624,"Anderson, Chase","Pit",113,235,235,166,14.407,69,14.407,0.4340425531914894,0.5531914893617021,0.01276595744680851
571882,"Law, Derek","Pit",113,167,167,94,14.426,73,14.426,0.33532934131736525,0.6347305389221557,0.029940119760479042
596271,"Lawrence, Casey","Pit",141,126,126,83,14.457,43,14.457,0.4126984126984127,0.5714285714285714,0.015873015873015872
620454,"Castillo, José","Pit",135,5,5,4,14.462,1,14.462,0.4,0.6,0
676879,"Ashby, Aaron","Pit",158,922,922,571,14.501,351,14.501,0.3676789587852495,0.5835140997830802,0.04880694143167028
657277,"Webb, Logan","Pit",137,1446,1446,922,14.504,524,14.504,0.3665283540802213,0.5933609958506224,0.040110650069156296
663989,"Vespi, Nick","Pit",110,200,200,115,14.538,85,14.538,0.335,0.65,0.015
669456,"Bieber, Shane","Pit",114,1271,1271,945,14.553,326,14.553,0.4177812745869394,0.5656963021243115,0.016522423288749016
665665,"Sanmartin, Reiver","Pit",113,499,499,279,14.58,220,14.58,0.3106212424849699,0.657314629258517,0.03206412825651302
518586,"Culberson, Charlie","Pit",140,14,14,12,14.611,2,14.611,0.5,0.5,0
608566,"Márquez, Germán","Pit",115,1222,1222,810,14.622,412,14.622,0.3690671031096563,0.5949263502454992,0.03600654664484452
596001,"Junis, Jakob","Pit",137,880,880,587,14.629,293,14.629,0.38522727272727275,0.5840909090909091,0.03068181818181818
543548,"Milone, Tommy","Pit",136,114,114,80,14.631,34,14.631,0.40350877192982454,0.5701754385964912,0.02631578947368421
663903,"Singer, Brady","Pit",118,1174,1174,797,14.633,377,14.633,0.3850085178875639,0.5809199318568995,0.034071550255536626
680704,"Sandlin, Nick","Pit",114,358,358,162,14.655,196,14.655,0.2541899441340782,0.7011173184357542,0.0446927374301676
543901,"Weber, Ryan","Pit",147,63,63,57,14.665,6,14.665,0.5079365079365079,0.4444444444444444,0.047619047619047616
682847,"Ortiz, Luis","Pit",134,128,128,77,14.668,51,14.668,0.3125,0.6484375,0.0390625
666720,"Rodriguez, Yerry","Pit",140,6,6,3,14.711,3,14.711,0.3333333333333333,0.5,0.16666666666666666
642028,"Rogers, Josh","Pit",120,197,197,130,14.76,67,14.76,0.3401015228426396,0.6192893401015228,0.04060913705583756
693821,"Elder, Bryce","Pit",144,406,406,280,14.772,126,14.772,0.35714285714285715,0.5985221674876847,0.04433497536945813
667373,"Rondón, Angel","Pit",138,45,45,24,14.774,21,14.774,0.28888888888888886,0.6,0.1111111111111111
665621,"García, Rony","Pit",116,432,432,317,14.793,115,14.793,0.3888888888888889,0.5787037037037037,0.032407407407407406
656849,"Peterson, David","Pit",121,893,893,550,14.84,343,14.84,0.3247480403135498,0.6506159014557671,0.02463605823068309
677960,"Weathers, Ryan","Pit",135,39,39,21,14.847,18,14.847,0.28205128205128205,0.6666666666666666,0.05128205128205128
615698,"Quantrill, Cal","Pit",114,1317,1317,868,14.857,449,14.857,0.3447228549734245,0.6180713743356112,0.03720577069096431
663630,"McKenna, Ryan","Pit",110,13,13,2,14.871,11,14.871,0.15384615384615385,0.7692307692307693,0.07692307692307693
622379,"Castillo, Luis","Pit",116,29,29,18,14.898,11,14.898,0.3448275862068966,0.6206896551724138,0.034482758620689655
571945,"Mikolas, Miles","Pit",138,1456,1456,1023,14.905,433,14.905,0.3646978021978022,0.6037087912087912,0.03159340659340659
672582,"Zerpa, Angel","Pit",118,80,80,59,14.936,21,14.936,0.375,0.6125,0.0125
596043,"Mengden, Daniel","Pit",118,52,52,27,14.938,25,14.938,0.2692307692307692,0.6730769230769231,0.057692307692307696
656605,"Keller, Mitch","Pit",134,1261,1261,765,14.992,496,14.992,0.3037272006344171,0.6534496431403648,0.04282315622521808
641482,"Cortes, Nestor","Pit",147,1103,1103,803,14.994,300,14.994,0.36627379873073435,0.5911151405258386,0.04261106074342702
670046,"Rosenberg, Kenny","Pit",108,87,87,52,15.018,35,15.018,0.27586206896551724,0.6781609195402298,0.04597701149425287
646242,"Diaz, Jhonathan","Pit",108,116,116,70,15.018,46,15.018,0.29310344827586204,0.603448275862069,0.10344827586206896
657093,"Watkins, Spenser","Pit",110,744,744,461,15.02,283,15.02,0.30913978494623656,0.657258064516129,0.033602150537634407
649144,"Wells, Alex","Pit",110,26,26,15,15.035,11,15.035,0.2692307692307692,0.6923076923076923,0.038461538461538464
592836,"Walker, Taijuan","Pit",121,1143,1143,802,15.073,341,15.073,0.363079615048119,0.6010498687664042,0.03587051618547681
657265,"Strzelecki, Peter","Pit",158,296,296,151,15.074,145,15.074,0.2635135135135135,0.7195945945945946,0.016891891891891893
592346,"González, Chi Chi","Pit",147,181,181,111,15.091,70,15.091,0.292817679558011,0.6629834254143646,0.04419889502762431
622072,"Wood, Alex","Pit",137,1039,1039,659,15.097,380,15.097,0.3128007699711261,0.6410009624639076,0.04619826756496631
596295,"Gomber, Austin","Pit",115,910,910,594,15.109,316,15.109,0.310989010989011,0.6615384615384615,0.027472527472527472
657766,"St. John, Locke","Pit",112,12,12,10,15.119,2,15.119,0.3333333333333333,0.6666666666666666,0
657649,"Koenig, Jared","Pit",133,311,311,169,15.144,142,15.144,0.2572347266881029,0.7009646302250804,0.04180064308681672
573668,"Minaya, Juan","Pit",142,77,77,35,15.172,42,15.172,0.22077922077922077,0.7402597402597403,0.03896103896103896
680573,"Woods Richardson, Simeon","Pit",142,32,32,24,15.173,8,15.173,0.34375,0.625,0.03125
