year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2020,J.T. Realmuto,,143,29,87.2,0.69,6,1.83,1.85,1.77,1,1.4,,1.4
2020,Jacob Nottingham,,158,25,84.1,0.76,5,1.9,1.87,1.91,1,1.59,,1.59
2020,Jorge Alfaro,,146,27,87.6,0.81,8,1.99,1.87,2.1,1,1.53,,1.53
2020,Willson Contreras,,112,28,84.6,0.75,15,1.94,1.9,1.96,1,1.48,1.48,
2020,Sean Murphy,,133,25,86.4,0.72,13,1.88,1.9,1.87,1,1.41,,1.41
2020,Jason Castro,,135,33,82.4,0.74,8,1.94,1.91,1.95,1,1.46,1.46,
2020,Salvador Perez,,118,30,81,0.75,7,1.99,1.91,2.04,0,,,
2020,Chad Wallach,,146,28,80,0.7,6,1.95,1.91,1.98,0,,,
2020,Austin Hedges,,114,27,81.3,0.68,6,1.9,1.92,1.89,3,1.45,1.45,
2020,Mike Zunino,,139,29,81.1,0.65,10,1.91,1.92,1.89,0,,,
2020,Luis Torrens,,136,24,81.4,0.72,5,1.97,1.92,1.98,0,,,
2020,Anthony Bemboom,,108,30,81,0.72,13,1.94,1.93,1.95,0,,,
2020,Christian Vázquez,,111,29,79.5,0.69,17,1.98,1.93,2,2,1.84,2.29,1.4
2020,Martín Maldonado,,117,33,85.3,0.74,10,1.9,1.93,1.89,0,,,
2020,Max Stassi,,108,29,79.6,0.71,22,1.98,1.94,1.99,2,1.52,1.56,1.47
2020,Austin Nola,,135,30,79.6,0.73,15,1.95,1.94,1.96,1,1.55,1.55,
2020,Andrew Knapp,,143,28,81.9,0.75,6,1.93,1.95,1.92,0,,,
2020,Omar Narváez,,158,28,77.6,0.69,9,1.97,1.95,1.99,0,,,
2020,Drew Butera,,115,36,84.4,0.75,6,1.93,1.96,1.91,0,,,
2020,Joey Bart,,137,23,84.2,0.75,13,2.01,1.96,2.03,0,,,
2020,Gary Sanchez,,147,27,83.1,0.75,7,1.94,1.97,1.91,2,1.48,1.49,1.46
2020,Michael Perez,,139,27,81.3,0.73,8,1.97,1.97,1.96,2,1.54,1.56,1.52
2020,Robinson Chirinos,,121,36,77.9,0.77,8,2,1.97,2.01,0,,,
2020,Yadier Molina,,138,37,81.7,0.72,8,1.96,1.97,1.94,0,,,
2020,Tony Wolters,,115,28,75.9,0.72,7,1.96,1.98,1.94,0,,,
2020,Curt Casali,,113,31,77.5,0.75,5,2,1.98,2.01,0,,,
2020,Dustin Garneau,,117,32,78.9,0.7,9,1.97,1.99,1.97,2,1.45,1.49,1.41
2020,Will Smith,,119,25,82.7,0.8,13,2.01,1.99,2.02,0,,,
2020,Sandy Leon,,114,31,76.8,0.72,7,2.03,1.99,2.03,0,,,
2020,Austin Barnes,,119,30,76,0.71,13,2.06,1.99,2.07,1,1.59,,1.59
2020,Roberto Perez,,114,31,78.9,0.75,11,1.98,1.99,1.96,1,2.05,2.05,
2020,Jeff Mathis,,140,37,77,0.7,8,1.98,1.99,1.97,0,,,
2020,Tucker Barnhart,,113,29,77,0.69,9,1.98,1.99,1.97,1,1.41,1.41,
2020,Yasmani Grandal,,145,31,77.5,0.67,6,1.98,2,1.94,0,,,
2020,Danny Jansen,,141,25,80.5,0.73,14,1.97,2,1.96,0,,,
2020,Manny Piña,,158,33,82.5,0.74,8,2,2,1.99,0,,,
2020,Travis d'Arnaud,,144,31,81,0.73,8,1.95,2.01,1.94,1,1.59,,1.59
2020,Joseph Odom,,136,28,77.1,0.79,11,2.09,2.03,2.1,0,,,
2020,Austin Romine,,116,31,80.4,0.79,17,2.05,2.03,2.05,0,,,
2020,John Ryan Murphy,,134,29,81.2,0.75,8,2,2.04,1.96,0,,,
2020,Stephen Vogt,,109,35,72.6,0.68,12,2.06,2.04,2.06,0,,,
2020,Ryan Jeffers,,142,23,79.5,0.76,5,2.04,2.04,2.04,1,1.56,,1.56
2020,Wilson Ramos,,121,32,77,0.75,18,2.03,2.05,2.03,3,1.6,,1.6
2020,Kurt Suzuki,,120,36,78,0.8,12,2.05,2.06,2.04,0,,,
2020,Mitch Garver,,142,29,81.8,0.81,7,2.02,2.06,2.01,0,,,
2020,Jacob Stallings,,134,30,81.9,0.77,14,2.01,2.06,1.98,1,1.57,,1.57
2020,Jose Trevino,,140,27,73.8,0.79,8,2.07,2.08,2.06,0,,,
2020,Kevin Plawecki,,111,29,74.8,0.74,12,2.08,2.09,2.07,1,1.54,,1.54
2020,Alex Avila,,142,33,78.2,0.71,8,2.03,2.11,1.98,1,1.45,,1.45
2020,Tyler Flowers,,144,34,73.6,0.77,11,2.11,2.15,2.11,0,,,
2020,Yan Gomes,,120,32,78.7,0.73,8,1.99,2.22,1.96,0,,,
2020,Chance Sisco,,110,25,75.4,0.89,7,2.12,2.23,2.07,0,,,
2020,Carson Kelly,,109,25,81.8,0.79,8,1.96,,1.96,0,,,
