last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Abreu, José,547989,CWS,145,1B,30,R,0.00,0.55,0.86,1.13,1.38,1.62,1.84,2.05,2.25,2.45,2.64,2.82,3.01,3.20,3.38,3.56,3.74,3.93,4.12
Adams, Lane,572669,ATL,144,,27,R,0.00,0.53,0.81,1.05,1.28,1.49,1.70,1.89,2.07,2.25,2.43,2.60,2.77,2.93,3.10,3.26,3.43,3.59,3.76
Adams, Matt,571431,ATL,144,1B,28,L,0.00,0.54,0.83,1.11,1.36,1.60,1.82,2.03,2.23,2.43,2.63,2.82,3.00,3.19,3.37,3.56,3.75,3.94,4.14
Adduci, James,451192,DET,116,RF,32,L,0.00,0.53,0.81,1.05,1.29,1.51,1.72,1.91,2.10,2.28,2.46,2.63,2.80,2.97,3.14,3.31,3.48,3.65,3.84
Adrianza, Ehire,501303,MIN,142,SS,27,L,0.00,0.53,0.81,1.06,1.30,1.53,1.74,1.94,2.13,2.32,2.51,2.69,2.87,3.05,3.23,3.41,3.59,3.78,3.97
Adrianza, Ehire,501303,MIN,142,SS,27,R,0.00,0.53,0.82,1.09,1.34,1.57,1.78,1.99,2.19,2.38,2.56,2.75,2.93,3.11,3.29,3.46,3.63,3.81,3.99
Aguilar, Jesús,542583,MIL,158,1B,27,R,0.00,0.59,0.93,1.22,1.49,1.74,1.97,2.19,2.40,2.61,2.82,3.02,3.22,3.42,3.62,3.81,4.01,4.21,4.43
Ahmed, Nick,605113,AZ,109,SS,27,R,0.00,0.56,0.87,1.13,1.38,1.61,1.83,2.03,2.23,2.42,2.61,2.79,2.97,3.15,3.33,3.50,3.68,3.85,4.03
Albies, Ozzie,645277,ATL,144,2B,20,L,0.00,0.52,0.80,1.04,1.27,1.48,1.68,1.88,2.06,2.24,2.42,2.60,2.77,2.94,3.11,3.28,3.45,3.62,3.81
Alcántara, Arismendy,570489,CIN,113,,25,R,0.00,0.55,0.83,1.08,1.31,1.53,1.73,1.92,2.11,2.28,2.46,2.63,2.80,2.97,3.13,3.30,3.46,3.63,3.79
Alfaro, Jorge,595751,PHI,143,C,24,R,0.00,0.54,0.85,1.12,1.37,1.60,1.81,2.01,2.21,2.40,2.59,2.77,2.96,3.13,3.31,3.49,3.66,3.83,4.01
Almonte, Abraham,501659,CLE,114,RF,28,L,0.00,0.52,0.80,1.06,1.30,1.52,1.73,1.93,2.12,2.31,2.49,2.67,2.84,3.02,3.19,3.36,3.54,3.71,3.90
Almonte, Abraham,501659,CLE,114,RF,28,R,0.00,0.56,0.86,1.12,1.36,1.59,1.80,2.00,2.20,2.39,2.57,2.75,2.92,3.10,3.27,3.44,3.61,3.78,3.96
Almora Jr., Albert,546991,CHC,112,CF,23,R,0.00,0.54,0.84,1.10,1.35,1.58,1.79,2.00,2.19,2.38,2.57,2.75,2.94,3.11,3.29,3.47,3.64,3.82,4.01
