Year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2016,Gary Sanchez,,147,23,88.4,0.72,20,1.9,1.9,1.9,0,,,
2016,J.T. Realmuto,,146,25,87,0.7,32,1.91,1.92,1.9,1,1.46,,1.46
2016,Welington Castillo,,109,29,83.3,0.67,23,1.92,1.92,1.9,7,1.57,1.53,1.62
2016,Martín Maldonado,,158,29,87.3,0.7,21,1.91,1.93,1.88,3,1.54,1.6,1.51
2016,Salvador Perez,,118,26,83.9,0.67,48,1.94,1.93,1.94,2,1.51,1.52,1.51
2016,Bryan Holaday,,111,28,82.2,0.69,9,1.94,1.93,1.95,1,1.65,1.65,
2016,Yadier Molina,,138,33,83.6,0.7,37,1.96,1.94,1.97,7,1.64,1.58,1.66
2016,Christian Bethancourt,,135,24,88.8,0.78,11,1.91,1.94,1.89,1,1.61,1.61,
2016,Dustin Garneau,,115,28,80.1,0.69,8,1.96,1.94,1.97,0,,,
2016,Yan Gomes,,114,28,80.8,0.66,17,1.95,1.95,1.95,1,1.65,1.65,
2016,David Ross,,112,39,80,0.66,27,1.95,1.96,1.94,3,1.52,1.46,1.54
2016,Willson Contreras,,112,24,85.7,0.73,19,1.96,1.96,1.96,2,1.64,,1.64
2016,Roberto Perez,,114,27,82.9,0.71,14,1.96,1.96,1.96,0,,,
2016,Drew Butera,,118,32,87.9,0.76,13,1.96,1.97,1.96,1,1.53,,1.53
2016,Carlos Pérez,,108,25,81.9,0.68,35,1.94,1.97,1.93,0,,,
2016,Cameron Rupp,,143,27,87,0.78,39,1.98,1.98,1.98,1,1.61,,1.61
2016,Caleb Joseph,,110,30,79.8,0.69,18,1.99,1.98,1.99,1,1.73,1.73,
2016,Trevor Brown,,137,24,83,0.75,14,2.01,1.98,2.03,3,1.62,,1.62
2016,Sandy Leon,,111,27,81.7,0.71,15,1.95,1.98,1.91,3,1.52,1.56,1.45
2016,Francisco Peña,,110,26,84.4,0.74,5,1.97,1.98,1.95,0,,,
2016,Luke Maile,,139,25,84,0.7,12,1.96,1.98,1.95,1,1.62,,1.62
2016,Matt Wieters,,110,30,81.4,0.71,40,1.99,1.99,2,1,1.7,,1.7
2016,James McCann,,116,26,83.5,0.73,42,2,1.99,2.01,2,1.51,,1.51
2016,Mike Zunino,,136,25,83.4,0.73,16,1.98,1.99,1.98,1,1.57,1.57,
2016,Russell Martin,,141,33,84.1,0.78,29,2.03,1.99,2.04,5,1.55,1.53,1.58
2016,Eric Fryer,,134,30,81.3,0.76,13,2.04,1.99,2.07,2,1.56,,1.56
2016,Chris Herrmann,,109,28,83.5,0.77,8,2.01,1.99,2.04,2,1.49,1.54,1.44
2016,John Ryan Murphy,,142,25,81.6,0.74,7,2.01,1.99,2.02,1,1.59,,1.59
2016,Juan Centeno,,142,26,81.3,0.73,7,1.99,1.99,1.99,2,1.52,,1.52
2016,Anthony Recker,,144,32,85,0.76,22,1.97,1.99,1.97,2,1.53,,1.53
2016,Dioner Navarro,,141,32,81.3,0.73,27,2.03,2,2.05,0,,,
2016,Erik Kratz,,134,36,84.9,0.78,7,1.99,2,1.97,0,,,
2016,Manny Piña,,158,29,84.7,0.72,10,1.98,2.01,1.95,1,1.59,,1.59
2016,Yasmani Grandal,,119,27,84.7,0.76,30,2.01,2.01,2.02,5,1.67,1.76,1.64
2016,Alex Avila,,145,29,80.3,0.72,16,2.01,2.01,2,4,1.57,1.57,1.57
2016,Alberto Rosario,,138,29,81.9,0.75,6,1.96,2.01,1.93,2,1.63,1.57,1.68
2016,Jose Lobaton,,120,31,82.7,0.73,6,2,2.01,2,2,1.64,1.64,
2016,Tucker Barnhart,,113,25,79.7,0.69,48,2.01,2.01,2.01,5,1.6,1.58,1.61
2016,Tony Wolters,,115,24,80.2,0.67,15,1.99,2.01,1.97,3,1.56,1.49,1.59
2016,Jonathan Lucroy,,140,30,81.1,0.73,58,2.01,2.01,2.01,5,1.58,1.55,1.66
2016,Miguel Montero,,112,32,80.5,0.77,17,2.05,2.02,2.06,3,1.69,,1.69
2016,Devin Mesoraco,,113,28,82.1,0.76,8,2,2.02,2,0,,,
2016,Buster Posey,,137,29,83.6,0.76,36,2.03,2.02,2.04,6,1.62,1.54,1.66
2016,Jason Castro,,117,29,83.8,0.77,36,2.04,2.02,2.05,4,1.54,1.48,1.56
2016,,,NaN,,82.8,0.77,21,2.03,2.02,2.03,1,1.58,,1.58
2016,René Rivera,,121,32,81.5,0.69,26,1.99,2.03,1.96,4,1.54,1.5,1.58
2016,Nick Hundley,,115,32,81,0.74,22,1.99,2.03,1.99,6,1.56,1.54,1.57
2016,Derek Norris,,135,27,79.1,0.7,44,2.03,2.03,2.03,5,1.6,1.63,1.54
