year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2019,Tomás Nido,,121,25,80.1,0.67,17,1.93,1.86,1.94,1,1.58,,1.58
2019,J.T. Realmuto,,143,28,88.4,0.68,38,1.88,1.88,1.89,2,1.42,1.34,1.51
2019,Jake Rogers,,116,24,79.2,0.65,8,1.91,1.9,1.92,3,1.63,1.66,1.62
2019,Willson Contreras,,112,27,84.7,0.68,27,1.92,1.9,1.92,2,1.56,1.56,
2019,Russell Martin,,119,36,83.6,0.75,9,2.04,1.92,2.07,0,,,
2019,Kyle Higashioka,,147,29,82.5,0.78,6,1.94,1.92,1.96,0,,,
2019,Sean Murphy,,133,24,87.4,0.79,6,1.98,1.92,2.01,0,,,
2019,Elias Díaz,,134,28,85.3,0.71,18,1.93,1.93,1.92,3,1.47,1.46,1.5
2019,Gary Sanchez,,147,26,87.9,0.73,23,1.93,1.94,1.92,1,1.44,,1.44
2019,Manny Piña,,158,32,83.2,0.66,16,1.95,1.94,1.96,2,1.63,1.58,1.69
2019,Yadier Molina,,138,36,84.1,0.69,12,1.98,1.95,2,1,1.45,,1.45
2019,Luke Maile,,141,28,83.2,0.7,13,1.99,1.95,2.02,1,1.6,,1.6
2019,Jacob Stallings,,134,29,84.7,0.7,9,1.98,1.95,2,1,1.53,,1.53
2019,Mike Zunino,,139,28,81.6,0.69,20,1.97,1.96,1.98,3,1.59,,1.59
2019,Welington Castillo,,145,32,79.9,0.65,19,1.96,1.96,1.96,0,,,
2019,Martín Maldonado,,117,32,87.3,0.76,27,1.96,1.96,1.97,0,,,
2019,Tony Wolters,,115,27,79.9,0.64,33,1.96,1.97,1.95,3,1.54,1.54,1.54
2019,Austin Hedges,,135,26,83.2,0.68,18,1.92,1.97,1.9,3,1.55,1.62,1.51
2019,Jorge Alfaro,,146,26,88.2,0.75,27,1.94,1.97,1.91,1,1.68,,1.68
2019,Reese McGuire,,141,24,79,0.63,9,1.97,1.97,1.96,3,1.62,,1.62
2019,Anthony Bemboom,,108,29,83.5,0.69,7,1.99,1.97,2.01,1,1.58,,1.58
2019,Roberto Perez,,114,30,82.6,0.73,30,1.96,1.97,1.95,0,,,
2019,Dustin Garneau,,133,31,78.1,0.68,9,1.97,1.98,1.96,1,1.62,,1.62
2019,Kevan Smith,,108,31,83,0.77,11,2.06,1.98,2.07,1,1.51,,1.51
2019,Josh Phegley,,133,31,80,0.66,32,1.99,1.99,1.98,3,1.85,1.85,
2019,Mitch Garver,,142,28,82.9,0.77,11,2.03,1.99,2.04,1,1.89,,1.89
2019,Pedro Severino,,110,25,83.8,0.74,25,1.99,1.99,1.99,0,,,
2019,Buster Posey,,137,32,83,0.73,41,2,1.99,2,3,1.55,,1.55
2019,Yan Gomes,,120,31,80.5,0.66,22,1.96,1.99,1.95,3,1.53,1.52,1.55
2019,Grayson Greiner,,116,26,85.8,0.76,25,1.97,1.99,1.97,2,1.51,1.49,1.53
2019,Sandy Leon,,111,30,78.7,0.67,15,2.02,1.99,2.04,2,1.57,1.57,
2019,Francisco Cervelli,,144,33,80.2,0.68,10,1.99,2,1.98,0,,,
2019,Austin Wynns,,110,28,78.9,0.72,9,2.02,2,2.03,0,,,
2019,Will Smith,,119,24,83.6,0.72,11,1.99,2,1.97,0,,,
2019,Willians Astudillo,,142,27,78.8,0.76,8,2,2,2,2,1.89,,1.89
2019,Bobby Wilson,,116,36,76.3,0.76,8,2.08,2,2.1,1,1.62,,1.62
2019,Christian Vázquez,,111,28,81.5,0.71,27,1.98,2,1.94,3,1.55,1.52,1.63
2019,John Hicks,,116,29,82.8,0.72,24,2,2,2,3,1.56,,1.56
2019,Alex Avila,,109,32,81.5,0.74,18,2.01,2,2.01,0,,,
2019,Jonathan Lucroy,,112,33,80.1,0.69,28,2.01,2.01,2.01,2,1.56,,1.56
2019,Meibrys Viloria,,118,22,82.5,0.74,9,1.98,2.01,1.93,3,1.58,1.58,
2019,Isiah Kiner-Falefa,,140,24,78,0.66,9,2.02,2.01,2.03,0,,,
2019,Wilson Ramos,,121,31,81.6,0.71,59,2,2.01,2,5,1.57,,1.57
2019,Erik Kratz,,139,39,80.9,0.75,8,2.01,2.01,2.01,0,,,
2019,James McCann,,145,29,81.1,0.75,21,2.05,2.02,2.07,6,1.6,1.54,1.63
2019,Andrew Knapp,,143,27,83.9,0.73,14,1.99,2.02,1.98,0,,,
2019,Matt Wieters,,138,33,79.3,0.71,10,2.02,2.02,2,0,,,
2019,Nick Hundley,,133,35,80.5,0.71,12,2.01,2.02,2,1,1.54,1.54,
2019,Carson Kelly,,109,24,82.5,0.74,18,1.99,2.02,1.98,0,,,
2019,Jose Trevino,,140,26,76.3,0.69,9,2.06,2.02,2.08,1,1.69,,1.69
2019,Bryan Holaday,,146,31,78.1,0.69,9,2.03,2.03,2.02,2,1.58,1.59,1.57
2019,Robinson Chirinos,,117,35,80.8,0.72,27,2.03,2.03,2.02,0,,,
2019,Jason Castro,,142,32,81.2,0.74,20,2.01,2.03,2,2,1.61,,1.61
2019,Danny Jansen,,141,24,80.3,0.77,36,2.05,2.03,2.06,2,1.61,,1.61
2019,Michael Perez,,139,26,84.3,0.74,5,2.02,2.03,2.01,0,,,
2019,Tucker Barnhart,,113,28,79.6,0.71,31,2.01,2.03,2,1,1.59,1.59,
2019,Francisco Mejía,,135,23,89,0.77,12,1.95,2.03,1.94,1,1.62,,1.62
2019,Chris Iannetta,,115,36,80.2,0.75,8,2.08,2.04,2.1,1,1.63,,1.63
2019,Kurt Suzuki,,120,35,81.1,0.79,20,2.06,2.04,2.07,3,1.65,1.69,1.63
2019,Travis d'Arnaud,,139,30,83.4,0.74,20,1.99,2.04,1.94,0,,,
2019,Cam Gallagher,,118,26,80,0.74,13,2.05,2.04,2.05,0,,,
2019,Victor Caratini,,112,25,79,0.75,13,2.07,2.04,2.08,3,1.71,1.71,1.7
2019,Tim Federowicz,,140,31,80.1,0.69,5,2.03,2.04,2.02,1,1.6,,1.6
2019,Jesús Sucre,,110,31,80.7,0.78,5,2.05,2.05,2.06,0,,,
2019,Curt Casali,,113,30,79.2,0.75,20,2.07,2.06,2.08,3,1.61,1.62,1.61
2019,Tom Murphy,,136,28,84.9,0.78,17,2.04,2.06,2.02,1,1.79,,1.79
