catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
J.T. Realmuto,,143,30,87.8,0.71,13,1.83,1.82,1.84,0,,,
Webster Rivas,,135,30,81.1,0.68,5,1.89,1.84,1.96,1,1.59,,1.59
Kyle Higashioka,,147,31,83.7,0.68,23,1.94,1.86,1.96,2,1.44,,1.44
Danny Jansen,,141,26,81.8,0.71,11,1.94,1.88,1.97,1,1.52,1.52,
Yadier Molina,,138,38,83.2,0.69,21,1.9,1.9,1.89,1,2.38,,2.38
Willson Contreras,,112,29,84.3,0.74,34,1.91,1.9,1.91,3,1.46,1.48,1.42
Grayson Greiner,,116,28,83.6,0.76,8,1.96,1.91,2.02,1,1.55,,1.55
Elias Díaz,,115,30,85.2,0.72,18,1.94,1.91,2,3,1.44,1.44,1.44
Cal Raleigh,,136,24,84.6,0.78,13,1.97,1.91,1.98,0,,,
Manny Piña,,158,34,81.2,0.72,21,1.94,1.91,1.97,1,1.57,,1.57
Alex Jackson,,146,25,82.2,0.65,5,1.93,1.91,1.97,0,,,
Ben Rortvedt,,142,23,85.6,0.79,6,1.93,1.91,1.97,2,1.48,1.47,1.49
Jake Rogers,,116,26,80,0.67,10,1.94,1.92,1.96,0,,,
Jorge Alfaro,,146,28,89,0.77,16,1.92,1.92,1.92,0,,,
Mike Zunino,,139,30,79.5,0.66,23,1.93,1.93,1.93,2,1.49,1.46,1.51
Reese McGuire,,141,26,79.3,0.68,13,1.97,1.93,1.99,4,1.47,1.46,1.47
Jason Castro,,117,34,80.6,0.73,11,1.97,1.93,1.98,2,1.56,,1.56
Yan Gomes,,133,33,79,0.63,30,1.91,1.93,1.9,0,,,
Sean Murphy,,133,26,86.1,0.71,27,1.9,1.93,1.88,3,1.38,1.37,1.39
Gary Sanchez,,147,28,84.5,0.74,20,1.94,1.93,1.95,5,1.48,1.45,1.49
Kevan Smith,,144,33,82,0.77,8,1.97,1.93,1.98,0,,,
Dom Nuñez,,115,26,78.1,0.72,24,2.01,1.94,2.04,6,1.55,1.52,1.56
Roberto Perez,,114,32,79.9,0.72,11,1.95,1.94,1.96,0,,,
Francisco Mejía,,139,25,86.7,0.77,14,1.95,1.95,1.95,1,1.64,1.64,
Andrew Knizner,,138,26,80.3,0.74,10,1.99,1.95,2.01,2,1.52,,1.52
Austin Hedges,,114,28,80.3,0.69,25,1.94,1.95,1.94,1,1.6,,1.6
Tomás Nido,,121,27,78.4,0.66,15,1.95,1.95,1.95,1,1.38,1.38,
Robinson Chirinos,,112,37,78.6,0.75,7,2,1.96,2.04,2,1.57,,1.57
Carson Kelly,,109,26,80.9,0.75,20,1.99,1.96,1.99,4,1.5,1.51,1.49
Andrew Knapp,,143,29,81.8,0.71,11,1.93,1.96,1.92,1,1.55,1.55,
Buster Posey,,137,34,81.8,0.72,22,1.99,1.96,2,1,1.52,1.52,
Pedro Severino,,110,27,81.2,0.75,20,1.97,1.96,1.98,2,1.51,1.51,1.5
Rob Brantly,,147,31,76.4,0.71,5,2.03,1.96,2.07,0,,,
Alejandro Kirk,,141,22,80.3,0.71,14,1.94,1.97,1.93,2,1.51,1.56,1.47
Eric Haase,,116,28,82.8,0.75,17,1.94,1.97,1.92,3,1.53,1.52,1.57
Tyler Stephenson,,113,24,83.2,0.76,18,1.96,1.97,1.95,1,1.63,1.63,
Aramis Garcia,,133,28,83.1,0.74,6,1.96,1.97,1.95,1,1.42,,1.42
Nick Fortes,,146,24,78.9,0.71,7,1.95,1.97,1.94,0,,,
Dustin Garneau,,116,33,76.5,0.67,7,1.96,1.97,1.94,0,,,
Salvador Perez,,118,31,81.9,0.71,23,1.97,1.98,1.95,4,1.55,1.43,1.59
Luis Torrens,,136,25,82.1,0.7,8,2,1.98,2.01,3,1.5,1.46,1.52
Tucker Barnhart,,113,30,78.1,0.7,28,1.99,1.98,1.99,0,,,
Christian Vázquez,,111,30,78.9,0.69,41,1.99,1.98,1.99,1,1.51,1.51,
Austin Wynns,,110,30,77.2,0.69,18,1.98,1.98,1.97,0,,,
Chad Wallach,,146,29,80.7,0.69,7,1.96,1.98,1.95,0,,,
Cam Gallagher,,118,28,77.5,0.73,13,2.03,1.99,2.04,2,1.61,,1.61
Martín Maldonado,,117,34,84.3,0.79,27,1.97,1.99,1.94,2,1.48,1.51,1.46
Daulton Varsho,,109,24,77.7,0.69,6,1.97,1.99,1.96,0,,,
Omar Narváez,,158,29,78.6,0.71,40,1.99,1.99,2,1,1.68,1.68,
Tres Barrera,,120,26,79,0.7,7,2,1.99,2,0,,,
Riley Adams,,120,25,84.5,0.81,12,1.98,1.99,1.98,1,1.46,,1.46
René Rivera,,120,37,80.2,0.69,15,1.97,2,1.93,2,1.43,,1.43
Will Smith,,119,26,82,0.73,52,1.96,2,1.94,4,1.51,1.52,1.51
Max Stassi,,108,30,78.7,0.72,21,2.01,2,2.01,5,1.53,1.52,1.53
Jonah Heim,,140,26,83.5,0.78,22,1.99,2,1.99,3,1.51,,1.51
,,NaN,,85.2,0.73,47,1.97,2,1.95,3,1.71,,1.71
James McCann,,121,31,80.5,0.72,32,2,2,2.01,4,1.55,1.55,1.58
Ryan Jeffers,,142,24,82.4,0.84,29,2.04,2.01,2.06,3,1.63,,1.63
Kurt Suzuki,,108,37,80.5,0.76,22,1.98,2.01,1.97,3,1.57,,1.57
Tony Wolters,,112,29,74.2,0.64,5,2.02,2.01,2.02,0,,,
Austin Nola,,135,31,78.9,0.74,14,2.01,2.02,2.01,2,1.61,,1.61
Victor Caratini,,135,27,78.9,0.77,23,2.03,2.02,2.03,2,1.62,,1.62
Wilson Ramos,,114,33,78.5,0.73,11,2,2.02,1.99,1,1.57,,1.57
Mitch Garver,,142,30,80.2,0.78,10,2.03,2.04,2.03,4,1.55,1.51,1.56
Keibert Ruiz,,120,22,77.4,0.78,6,2.09,2.04,2.1,2,1.65,1.65,1.64
Alex Avila,,120,34,76.6,0.71,7,1.99,2.04,1.97,0,,,
William Contreras,,144,23,79.5,0.75,9,2.01,2.05,1.99,0,,,
Zack Collins,,145,26,79,0.73,28,2.02,2.05,2.01,2,1.59,,1.59
Chance Sisco,,121,26,75.5,0.77,9,2.08,2.07,2.08,0,,,
Michael Perez,,134,28,82.1,0.81,14,1.96,2.07,1.92,0,,,
Tom Murphy,,136,30,82.1,0.78,25,2.04,2.07,2.04,1,1.55,,1.55
Jacob Stallings,,134,31,81.3,0.79,26,2.02,2.07,1.99,4,1.56,,1.56
Stephen Vogt,,144,36,72.3,0.69,16,2.1,2.07,2.11,5,1.54,1.58,1.53
Curt Casali,,137,32,78.8,0.75,10,2,2.08,2,0,,,
Yasmani Grandal,,145,32,77.5,0.76,22,2.07,2.09,2.06,2,1.66,1.72,1.61
Travis d'Arnaud,,144,32,80.8,0.8,12,2.05,2.09,2.04,1,1.53,,1.53
Austin Barnes,,119,31,75.6,0.7,20,2.06,2.1,2.05,2,1.9,1.52,2.27
Jose Trevino,,140,28,74,0.71,23,2.07,2.12,2.06,4,1.55,1.6,1.53
Sandy Leon,,146,32,77.8,0.74,17,2.05,2.17,2.02,1,1.6,,1.6
Patrick Mazeika,,121,27,76.1,0.81,5,2.05,2.17,2.02,0,,,
Seby Zavala,,145,27,81.4,0.82,11,2.06,2.19,2.03,0,,,
Kevin Plawecki,,111,30,76,0.76,21,2.1,,2.1,1,1.64,,1.64
