last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Bauer, Trevor,545333,94.5,94.7,84.6,79.6,86,79.1,,
Lynn, Lance,458681,94.6,92.8,89,,86.9,81.2,,
Strasburg, Stephen,544931,93.9,93.7,,87.8,87.7,81.2,,
Rodriguez, Eduardo,593958,93,92.9,88.5,84.7,87.6,82.4,,
Cole, Gerrit,543037,97.1,97.1,,89.2,88.6,82.6,,
Minor, Mike,501985,92.5,,,86.4,86.2,80.7,,
Nola, Aaron,605400,93.1,92.2,,,85.8,79.1,,
Corbin, Patrick,571578,91.8,91.8,,81.7,81.8,67.8,,
Verlander, Justin,434378,94.6,,,87.5,86.9,79.4,,
Bumgarner, Madison,518516,91.4,92.2,87.2,,84.2,78.8,,
Bieber, Shane,669456,93.1,93.7,,85,87.6,82.7,,
deGrom, Jacob,594798,96.9,96.7,,92.5,90.3,84.3,,
Flaherty, Jack,656427,94.3,92,,84.8,86.2,78.2,,
Gonzales, Marco,594835,88.9,,85.2,,81.2,76.3,,
López, Reynaldo,625643,95.4,,,84.4,84,78.3,,
Wheeler, Zack,554430,96.8,96.5,,91.2,89,80.7,88.8,
Morton, Charlie,450203,94.7,93.9,85.4,,,78.6,84.9,
Berríos, José,621244,93.1,92.1,,,82.5,81.4,,
Syndergaard, Noah,592789,97.8,97.5,,89.1,91.1,80.4,,
Alcantara, Sandy,645261,95.6,95.3,,86,89.1,82,,
Greinke, Zack,425844,89.9,90.4,89.4,83.7,87.4,70.6,80.1,
Castillo, Luis,622491,96.4,96.5,,85.9,87.2,,,
Ray, Robbie,592662,92.4,92.2,,84.2,,81.6,,
Stroman, Marcus,573186,92.9,92.5,91,85.7,87,75,,
Lester, Jon,452657,90.6,89.5,87.9,,84.3,74.5,,
Teheran, Julio,527054,89.7,89.3,,82.2,83.6,74.8,,
Boyd, Matthew,571510,92.1,90.2,90.5,79.6,79.1,72.2,,
Nova, Iván,467100,92.5,92.3,86.7,,86.2,79.9,,
Samardzija, Jeff,502188,91.6,92.2,88.8,84.6,,76.3,82.3,
Leake, Mike,502190,88.6,88.3,86.7,80.3,84,79.3,,
Kelly, Merrill,518876,92,91.5,89.9,,86,80.6,,
Porcello, Rick,519144,91,89.6,,84.3,80.8,74.9,,
Junis, Jakob,596001,91.7,91,,82.4,84.6,79.3,,
Roark, Tanner,543699,92.1,91.9,,86.3,84.1,75.7,,
